workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,rpe,volume_kg,estimated_1rm,notes
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Incline Bench Press (Barbell),1,60.0,7,,420.0,74.0,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Incline Bench Press (Barbell),2,60.0,8,,480.0,76.0,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Incline Bench Press (Barbell),3,60.0,6,,360.0,72.0,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Lateral Raise (Cable),1,7.5,12,,90.0,10.5,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Lateral Raise (Cable),2,7.5,15,,112.5,11.25,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Lateral Raise (Cable),3,7.5,15,,112.5,11.25,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Leg Press,1,150.0,15,,2250.0,225.0,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Leg Press,2,200.0,8,,1600.0,253.33333333333331,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Leg Press,3,200.0,9,,1800.0,260.0,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Lying Leg Curl (Machine),1,17.5,12,,210.0,24.5,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Lying Leg Curl (Machine),2,17.5,10,,175.0,23.333333333333332,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Lying Leg Curl (Machine),3,17.5,10,,175.0,23.333333333333332,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Pull Up,1,5.0,13,,65.0,7.166666666666667,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Pull Up,2,5.0,9,,45.0,6.5,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Pull Up,3,5.0,8,,40.0,6.333333333333333,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Pull Up,4,5.0,11,,55.0,6.833333333333334,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Triceps Extension (Cable),1,10.0,20,,200.0,16.666666666666664,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Triceps Extension (Cable),2,12.5,15,,187.5,18.75,
1,2020-05-28 12:58:47,Day 3,2020,2020-05,2020-05-25/2020-05-31,Thursday,Triceps Extension (Cable),3,15.0,12,,180.0,21.0,
2,2020-05-30 16:14:11,Day 4,2020,2020-05,2020-05-25/2020-05-31,Saturday,Chest Fly,1,52.5,11,,577.5,71.75,
