month,exercise_name,total_sets,total_volume_kg,avg_weight_kg,best_1rm_kg
2020-05-01,Incline Bench Press (Barbell),3,1260.0,60.0,76.0
2020-05-01,Lateral Raise (Cable),3,315.0,7.5,11.3
2020-05-01,Leg Press,3,5650.0,183.3,260.0
2020-05-01,Lying Leg Curl (Machine),3,560.0,17.5,24.5
2020-05-01,Pull Up,4,205.0,5.0,7.2
2020-05-01,Triceps Extension (Cable),3,568.0,12.5,21.0
2020-06-01,Bench Press (Barbell),18,9298.0,73.8,95.0
2020-06-01,Bent Over Row (Barbell),3,1745.0,51.7,73.3
2020-06-01,Bicep Curl (Barbell),18,3584.0,18.7,31.5
2020-06-01,Bicep Curl (Cable),15,1938.0,11.3,29.8
2020-06-01,Bicep Curl (Dumbbell),6,696.0,10.7,17.2
2020-06-01,Chest Fly,6,3389.0,54.1,77.0
2020-06-01,Chest Press (Machine),3,1600.0,50.0,70.0
2020-06-01,Deadlift (Barbell),3,1400.0,93.3,116.7
2020-06-01,Face Pull (Cable),3,625.0,16.3,28.3
2020-06-01,Incline Bench Press (Barbell),3,1380.0,60.0,76.0
2020-06-01,Incline Bench Press (Dumbbell),16,3780.0,29.4,40.0
2020-06-01,Incline Chest Press (Machine),3,690.0,31.7,42.0
2020-06-01,Lat Pulldown (Cable),14,7630.0,65.7,101.3
2020-06-01,Lateral Raise (Cable),15,1296.0,6.8,11.7
2020-06-01,Leg Extension (Machine),9,7355.0,71.7,114.7
2020-06-01,Leg Press,16,33820.0,194.4,316.7
2020-06-01,Lying Leg Curl (Machine),13,3506.0,26.5,56.0
2020-06-01,Pull Up,15,1020.0,7.7,13.3
2020-06-01,Reverse Fly (Machine),12,6485.0,44.8,66.5
2020-06-01,Seated Leg Press (Machine),9,10480.0,105.8,157.7
2020-06-01,Seated Overhead Press (Dumbbell),21,3760.0,22.0,30.4
2020-06-01,Seated Row (Cable),9,6400.0,75.6,104.0
2020-06-01,Seated Row (Machine),10,8288.0,74.8,112.0
2020-06-01,Shoulder Press (Machine),22,7435.0,38.6,58.5
2020-06-01,Shrug (Dumbbell),3,760.0,20.0,29.3
2020-06-01,Skullcrusher (Barbell),9,2138.0,20.0,31.5
2020-06-01,Squat (Barbell),6,2785.0,71.7,90.0
2020-06-01,Triceps Extension (Cable),6,1340.0,19.9,30.1
2020-06-01,Triceps Pushdown (Cable - Straight Bar),9,2070.0,19.3,29.0
2020-07-01,Arnold Press (Dumbbell),6,1040.0,20.0,27.3
2020-07-01,Bench Press (Barbell),14,6450.0,77.9,98.7
2020-07-01,Bent Over Row (Barbell),9,5555.0,62.2,88.8
2020-07-01,Bicep Curl (Barbell),6,1775.0,25.0,36.7
2020-07-01,Bicep Curl (Cable),15,1498.0,9.1,14.6
2020-07-01,Bicep Curl (Dumbbell),3,348.0,12.0,16.8
