month,exercise_name,best_1rm_kg
2020-05-01,Incline Bench Press (Barbell),76.0
2020-05-01,Lateral Raise (Cable),11.3
2020-05-01,Leg Press,260.0
2020-05-01,Lying Leg Curl (Machine),24.5
2020-05-01,Pull Up,7.2
2020-05-01,Triceps Extension (Cable),21.0
2020-06-01,Bench Press (Barbell),95.0
2020-06-01,Bent Over Row (Barbell),73.3
2020-06-01,Bicep Curl (Barbell),31.5
2020-06-01,Bicep Curl (Cable),29.8
2020-06-01,Bicep Curl (Dumbbell),17.2
2020-06-01,Chest Fly,77.0
2020-06-01,Chest Press (Machine),70.0
2020-06-01,Deadlift (Barbell),116.7
2020-06-01,Face Pull (Cable),28.3
2020-06-01,Incline Bench Press (Barbell),76.0
2020-06-01,Incline Bench Press (Dumbbell),40.0
2020-06-01,Incline Chest Press (Machine),42.0
2020-06-01,Lat Pulldown (Cable),101.3
2020-06-01,Lateral Raise (Cable),11.7
2020-06-01,Leg Extension (Machine),114.7
2020-06-01,Leg Press,316.7
2020-06-01,Lying Leg Curl (Machine),56.0
2020-06-01,Pull Up,13.3
2020-06-01,Reverse Fly (Machine),66.5
2020-06-01,Seated Leg Press (Machine),157.7
2020-06-01,Seated Overhead Press (Dumbbell),30.4
2020-06-01,Seated Row (Cable),104.0
2020-06-01,Seated Row (Machine),112.0
2020-06-01,Shoulder Press (Machine),58.5
2020-06-01,Shrug (Dumbbell),29.3
2020-06-01,Skullcrusher (Barbell),31.5
2020-06-01,Squat (Barbell),90.0
2020-06-01,Triceps Extension (Cable),30.1
2020-06-01,Triceps Pushdown (Cable - Straight Bar),29.0
2020-07-01,Arnold Press (Dumbbell),27.3
2020-07-01,Bench Press (Barbell),98.7
2020-07-01,Bent Over Row (Barbell),88.8
2020-07-01,Bicep Curl (Barbell),36.7
2020-07-01,Bicep Curl (Cable),14.6
2020-07-01,Bicep Curl (Dumbbell),16.8
2020-07-01,Cable Crossover,16.9
2020-07-01,Chest Dip,30.7
2020-07-01,Chest Fly,91.0
2020-07-01,Chest Press (Machine),78.0
2020-07-01,Deadlift (Barbell),128.3
2020-07-01,Face Pull (Cable),24.9
2020-07-01,Hammer Curl (Dumbbell),16.4
2020-07-01,Incline Bench Press (Dumbbell),43.7
2020-07-01,Incline Curl (Dumbbell),12.7
2020-07-01,Lat Pulldown (Cable),102.7
2020-07-01,Lat Pulldown (Machine),96.7
2020-07-01,Lat Pulldown (Single Arm),44.3
2020-07-01,Lateral Raise (Cable),11.4
2020-07-01,Lateral Raise (Machine),37.6
2020-07-01,Leg Extension (Machine),99.1
2020-07-01,Leg Press,375.0
2020-07-01,Lying Leg Curl (Machine),66.7
2020-07-01,Pull Up,13.3
2020-07-01,Reverse Fly (Machine),68.3
2020-07-01,Romanian Deadlift (Barbell),88.7
2020-07-01,Seated Calf Raise (Plate Loaded),30.0
2020-07-01,Seated Leg Press (Machine),183.3
2020-07-01,Seated Overhead Press (Dumbbell),29.3
2020-07-01,Seated Row (Cable),101.3
2020-07-01,Seated Row (Machine),99.1
2020-07-01,Shoulder Press (Machine),63.3
2020-07-01,Shrug (Barbell),84.0
2020-07-01,Shrug (Machine),34.0
2020-07-01,Squat (Barbell),95.0
2020-07-01,Strict Military Press (Barbell),57.0
2020-07-01,Sumo Deadlift (Barbell),114.0
2020-07-01,Triceps Extension (Cable),34.0
2020-07-01,Triceps Pushdown (Cable - Straight Bar),29.4
2020-07-01,Upright Row (Cable),33.3
2020-08-01,Arnold Press (Dumbbell),26.7
2020-08-01,Bench Press (Barbell),98.7
2020-08-01,Bicep Curl (Barbell),35.0
2020-08-01,Bicep Curl (Cable),13.9
2020-08-01,Bicep Curl (Machine),65.9
2020-08-01,Cable Crossover,19.3
2020-08-01,Chest Dip,27.3
2020-08-01,Chest Fly,97.5
2020-08-01,Deadlift (Barbell),135.7
2020-08-01,Face Pull (Cable),31.9
2020-08-01,Incline Bench Press (Dumbbell),44.8
2020-08-01,Incline Curl (Dumbbell),14.0
2020-08-01,Iso-Lateral Row (Machine),41.0
2020-08-01,Lat Pulldown (Cable),84.0
2020-08-01,Lat Pulldown (Machine),99.1
2020-08-01,Lat Pulldown (Single Arm),46.7
2020-08-01,Lateral Raise (Cable),13.1
2020-08-01,Lateral Raise (Machine),39.4
2020-08-01,Leg Extension (Machine),110.0
2020-08-01,Leg Press,383.3
2020-08-01,Lying Leg Curl (Machine),73.3
2020-08-01,Pull Up,18.5
2020-08-01,Reverse Fly (Machine),68.1
2020-08-01,Romanian Deadlift (Barbell),104.0
2020-08-01,Seated Calf Raise (Plate Loaded),45.0
2020-08-01,Seated Leg Curl (Machine),84.3
2020-08-01,Seated Leg Press (Machine),158.3
2020-08-01,Seated Overhead Press (Dumbbell),29.3
2020-08-01,Seated Row (Cable),101.3
2020-08-01,Seated Row (Machine),93.2
2020-08-01,Shoulder Press (Machine),56.0
2020-08-01,Shrug (Machine),34.8
2020-08-01,Squat (Barbell),99.2
2020-08-01,Strict Military Press (Barbell),58.3
2020-08-01,Sumo Deadlift (Barbell),121.0
2020-08-01,Triceps Extension (Cable),38.3
2020-08-01,Triceps Pushdown (Cable - Straight Bar),31.9
2020-08-01,Upright Row (Cable),35.8
2020-09-01,Back Extension,22.0
2020-09-01,Bench Press (Barbell),101.3
2020-09-01,Bent Over Row (Barbell),80.0
2020-09-01,Bicep Curl (Machine),74.2
2020-09-01,Cable Crossover,19.3
2020-09-01,Chest Dip,28.0
2020-09-01,Chest Fly,91.0
2020-09-01,Deadlift (Barbell),128.3
2020-09-01,Hack Squat (Barbell),76.0
2020-09-01,Hammer Curl (Dumbbell),16.0
2020-09-01,Incline Bench Press (Dumbbell),42.7
2020-09-01,Incline Curl (Dumbbell),16.8
2020-09-01,Lat Pulldown (Cable),39.0
2020-09-01,Lat Pulldown (Single Arm),46.7
2020-09-01,Lateral Raise (Cable),11.8
2020-09-01,Leg Extension (Machine),108.8
2020-09-01,Leg Press,316.7
2020-09-01,Lying Leg Curl (Machine),31.7
2020-09-01,Pull Up,19.5
2020-09-01,Pullover (Machine),40.3
2020-09-01,Reverse Fly (Machine),72.0
2020-09-01,Romanian Deadlift (Barbell),106.7
2020-09-01,Seated Calf Raise (Plate Loaded),53.3
2020-09-01,Seated Leg Curl (Machine),88.8
2020-09-01,Seated Leg Press (Machine),148.2
2020-09-01,Seated Overhead Press (Dumbbell),28.7
2020-09-01,Seated Row (Cable),96.0
2020-09-01,Shoulder Press (Machine),54.7
2020-09-01,Shrug (Barbell),78.0
2020-09-01,Skullcrusher (Barbell),33.0
2020-09-01,Strict Military Press (Barbell),54.0
2020-09-01,Triceps Extension (Cable),21.7
2020-09-01,Triceps Pushdown (Cable - Straight Bar),41.9
2020-10-01,Back Extension,15.0
2020-10-01,Bench Press (Barbell),99.0
2020-10-01,Bent Over Row (Barbell),76.0
2020-10-01,Bicep Curl (Barbell),35.0
2020-10-01,Bicep Curl (Cable),15.4
2020-10-01,Bicep Curl (Machine),77.0
2020-10-01,Cable Crossover,19.7
2020-10-01,Chest Dip,33.3
