exercise_name,estimated_1rm_kg,weight_kg,reps,pr_date
Leg Press,383.3,250.0,16,2020-08-05
Hip Adductor (Machine),207.6,117.5,23,2024-08-16
Seated Leg Press (Machine),183.3,137.5,10,2020-07-15
Leg Extension (Machine),164.7,95.0,22,2022-04-11
Triceps Extension (Machine),164.0,102.5,18,2024-06-03
Standing Calf Raise (Machine),152.0,95.0,18,2025-12-20
Deadlift (Barbell),135.7,110.0,7,2020-08-25
Hip Abductor (Machine),135.3,72.5,26,2022-12-27
Lat Pulldown (Cable),132.0,90.0,14,2022-11-28
Seated Row (Machine),126.5,82.5,16,2024-07-26
Romanian Deadlift (Barbell),126.0,90.0,12,2025-07-16
Lat Pulldown - Underhand (Cable),126.0,90.0,12,2022-03-09
Sumo Deadlift (Barbell),121.0,110.0,3,2020-08-17
Seated Leg Curl (Machine),120.8,72.5,20,2021-10-16
Seated Row (Cable),120.0,80.0,15,2024-05-26
Calf Press on Leg Press,116.7,70.0,20,2024-03-21
Bench Press (Barbell),114.7,80.0,13,2022-10-19
Chest Fly,112.0,70.0,18,2022-10-01
Crunch (Machine),108.3,62.5,22,2024-11-30
Squat (Barbell),107.5,75.0,13,2024-04-01
Hack Squat,107.5,75.0,13,2025-04-11
Bent Over Row (Barbell),107.3,70.0,16,2022-07-26
Incline Bench Press (Smith Machine),106.7,80.0,10,2025-10-08
Single Leg Press,100.3,70.0,13,2025-03-22
Archer Pull,100.3,70.0,13,2026-05-27
Lat Pulldown (Machine),100.1,77.0,9,2024-12-04
Incline Bench Press (Barbell),98.0,70.0,12,2024-05-30
Iso-Lateral Row (Machine),96.7,72.5,10,2025-01-08
Bench Press - Close Grip (Barbell),95.7,70.0,11,2022-06-15
Front Squat (Barbell),95.3,65.0,14,2024-05-16
Bicep Curl (Machine),94.0,60.0,17,2024-06-07
Lying Leg Curl (Machine),92.0,60.0,16,2026-04-03
Reverse Fly (Machine),90.1,57.5,17,2022-05-15
Squat (Smith Machine),86.0,60.0,13,2022-09-24
Hip Thrust (Barbell),86.0,60.0,13,2022-09-29
Chest Press (Machine),86.0,60.0,13,2024-09-16
Shrug (Barbell),84.0,60.0,12,2020-07-18
