"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Incline Bench Press (Barbell)";"W";"40.0";"15";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Incline Bench Press (Barbell)";"1";"60.0";"7";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Incline Bench Press (Barbell)";"2";"60.0";"8";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Incline Bench Press (Barbell)";"3";"60.0";"6";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Leg Press";"1";"150.0";"15";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Leg Press";"2";"200.0";"8";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Leg Press";"3";"200.0";"9";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Pull Up";"1";"5.0";"13";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Pull Up";"2";"5.0";"9";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Pull Up";"3";"5.0";"8";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Pull Up";"4";"5.0";"11";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Lying Leg Curl (Machine)";"Note";"";"";"";"";"";"Beine einzeln";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Lying Leg Curl (Machine)";"1";"17.5";"12";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Lying Leg Curl (Machine)";"2";"17.5";"10";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Lying Leg Curl (Machine)";"3";"17.5";"10";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Triceps Extension (Cable)";"1";"10.0";"20";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Triceps Extension (Cable)";"2";"12.5";"15";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Triceps Extension (Cable)";"3";"15.0";"12";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Lateral Raise (Cable)";"1";"7.5";"12";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Lateral Raise (Cable)";"2";"7.5";"15";"";"";"";"";""
"1";"2020-05-28 12:58:47";"Day 3";"4195";"Lateral Raise (Cable)";"3";"7.5";"15";"";"";"";"";""
"2";"2020-05-30 16:14:11";"Day 4";"4455";"Chest Fly";"W";"5.0";"5";"";"";"";"";"Day 4"
"2";"2020-05-30 16:14:11";"Day 4";"4455";"Chest Fly";"1";"52.5";"11";"";"";"";"";"Day 4"
"2";"2020-05-30 16:14:11";"Day 4";"4455";"Chest Fly";"2";"52.5";"11";"";"";"";"";"Day 4"
"2";"2020-05-30 16:14:11";"Day 4";"4455";"Chest Fly";"3";"52.5";"11";"";"";"";"";"Day 4"
"2";"2020-05-30 16:14:11";"Day 4";"4455";"Reverse Fly (Machine)";"1";"27.5";"15";"";"";"";"";"Day 4"
"2";"2020-05-30 16:14:11";"Day 4";"4455";"Reverse Fly (Machine)";"2";"35.0";"14";"";"";"";"";"Day 4"
"2";"2020-05-30 16:14:11";"Day 4";"4455";"Reverse Fly (Machine)";"3";"35.0";"13";"";"";"";"";"Day 4"
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Bench Press (Barbell)";"W";"40.0";"15";"";"";"";"";""
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Bench Press (Barbell)";"1";"60.0";"10";"";"";"";"";""
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Bench Press (Barbell)";"2";"70.0";"8";"";"";"";"";""
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Bench Press (Barbell)";"3";"70.0";"8";"";"";"";"";""
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Bench Press (Barbell)";"4";"70.0";"6";"";"";"";"";""
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Lateral Raise (Cable)";"1";"6.25";"14";"";"";"";"";""
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Lateral Raise (Cable)";"2";"6.25";"14";"";"";"";"";""
"3";"2020-06-01 10:48:59";"Day 5";"4037";"Lateral Raise (Cable)";"3";"6.25";"13";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Incline Bench Press (Barbell)";"W";"40.0";"15";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Incline Bench Press (Barbell)";"1";"60.0";"8";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Incline Bench Press (Barbell)";"2";"60.0";"8";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Incline Bench Press (Barbell)";"3";"60.0";"7";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Leg Press";"1";"150.0";"15";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Leg Press";"2";"200.0";"11";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Leg Press";"3";"200.0";"10";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Leg Press";"4";"200.0";"10";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Seated Overhead Press (Dumbbell)";"W";"16.0";"10";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Seated Overhead Press (Dumbbell)";"1";"22.0";"7";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Seated Overhead Press (Dumbbell)";"2";"20.0";"8";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Seated Overhead Press (Dumbbell)";"3";"20.0";"7";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Lat Pulldown (Cable)";"W";"50.0";"10";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Lat Pulldown (Cable)";"1";"70.0";"7";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Lat Pulldown (Cable)";"2";"60.0";"10";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Lat Pulldown (Cable)";"3";"60.0";"10";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Skullcrusher (Barbell)";"1";"22.5";"12";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Skullcrusher (Barbell)";"2";"22.5";"12";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Skullcrusher (Barbell)";"3";"22.5";"12";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Bicep Curl (Barbell)";"1";"22.5";"12";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Bicep Curl (Barbell)";"2";"22.5";"12";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Bicep Curl (Barbell)";"3";"22.5";"10";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Lateral Raise (Cable)";"1";"7.5";"15";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Lateral Raise (Cable)";"2";"7.5";"15";"";"";"";"";""
"4";"2020-06-03 16:02:10";"Day 1";"4779";"Lateral Raise (Cable)";"3";"7.5";"12";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bench Press (Barbell)";"W";"20.0";"20";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bench Press (Barbell)";"W";"40.0";"15";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bench Press (Barbell)";"1";"70.0";"8";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bench Press (Barbell)";"2";"70.0";"10";"";"";"";"";""
